month,death,positive,recovered
December,3787.0,261959.0,167314.0
December,134.0,33730.0,7165.0
December,6834.0,349969.0,54677.0
December,2576.0,165430.0,145337.0
December,19537.0,1279260.0,0.0
December,2715.0,249307.0,13368.0
December,5113.0,124917.0,9800.0
December,782.0,37984.0,18252.0
December,692.0,22363.0,16314.0
December,19171.0,1016966.0,0.0
December,9676.0,435234.0,0.0
December,252.0,18546.0,11958.0
December,993.0,105710.0,42000.0
December,13678.0,764108.0,0.0
December,6074.0,363123.0,215040.0
December,2560.0,208776.0,149211.0
December,1713.0,164409.0,3545.0
December,2018.0,192237.0,29353.0
December,6527.0,244772.0,201157.0
December,222.0,12676.0,9768.0
December,4768.0,207748.0,8709.0
December,10890.0,243267.0,165030.0
December,10066.0,413767.0,176096.0
December,3807.0,336422.0,293038.0
December,3899.0,160037.0,128746.0
December,4108.0,311928.0,0.0
December,722.0,65674.0,48610.0
December,1128.0,133456.0,66788.0
December,2251.0,161266.0,0.0
December,547.0,23270.0,18060.0
December,17220.0,354296.0,44982.0
December,1681.0,103854.0,35376.0
December,26986.0,680152.0,86712.0
December,5431.0,380383.0,315979.0
December,990.0,81388.0,75124.0
December,6793.0,452382.0,302121.0
December,1839.0,207413.0,175633.0
December,988.0,80542.0,5870.0
December,10995.0,393268.0,230380.0
December,1402.0,60674.0,3888.0
December,4482.0,225026.0,117630.0
December,1040.0,83693.0,67156.0
December,4805.0,390574.0,349118.0
December,22109.0,1219820.0,1006420.0
December,919.0,207337.0,144732.0
December,76.0,4699.0,2769.0
December,4152.0,246775.0,24857.0
December,2863.0,170850.0,0.0
December,798.0,51748.0,33190.0
December,3802.0,429170.0,334428.0
December,248.0,35231.0,28057.0
